date,store_id,product_id,category,region,inventory_level,units_sold,baseline_ma_30,ml_forecast,safety_stock,reorder_point,recommended_order,stock_status,price,discount,holiday_promotion,weather_condition
2022-01-28,S001,P0001,Furniture,East,158,97,116.1,115.96,179.0,411.0,253.0,🔴 Critical Stockout Risk,53.25,20,1,Cloudy
2022-01-29,S001,P0001,Furniture,South,154,47,113.7,48.79,179.0,406.0,252.0,🔴 Critical Stockout Risk,88.06,15,1,Snowy
2022-01-30,S001,P0001,Furniture,West,498,130,114.2,148.26,179.0,407.0,0.0,✅ Healthy Stock,68.76,10,0,Snowy
2022-01-31,S001,P0001,Clothing,West,410,200,116.7,212.24,179.0,412.0,2.0,⚠️ Reorder Needed,70.78,0,1,Sunny
2022-02-01,S001,P0001,Groceries,East,419,279,123.3,297.26,179.0,426.0,7.0,⚠️ Reorder Needed,34.49,0,0,Sunny
2022-02-02,S001,P0001,Electronics,South,415,38,124.4,53.13,179.0,428.0,13.0,⚠️ Reorder Needed,52.49,5,0,Cloudy
2022-02-03,S001,P0001,Clothing,South,345,71,124.8,84.02,179.0,429.0,84.0,⚠️ Reorder Needed,27.71,20,1,Rainy
2022-02-04,S001,P0001,Furniture,South,121,25,120.7,37.72,179.0,420.0,299.0,🔴 Critical Stockout Risk,16.84,15,0,Cloudy
2022-02-05,S001,P0001,Groceries,South,458,350,131.2,362.43,179.0,441.0,0.0,✅ Healthy Stock,51.44,15,0,Snowy
2022-02-06,S001,P0001,Electronics,North,167,69,129.9,81.06,179.0,439.0,272.0,🔴 Critical Stockout Risk,68.85,5,1,Cloudy
2022-02-07,S001,P0001,Electronics,South,244,62,131.9,73.41,179.0,443.0,199.0,⚠️ Reorder Needed,11.34,5,0,Rainy
2022-02-08,S001,P0001,Toys,West,140,12,120.6,15.6,179.0,420.0,280.0,🔴 Critical Stockout Risk,67.64,10,0,Cloudy
2022-02-09,S001,P0001,Groceries,South,209,16,120.0,22.37,179.0,419.0,210.0,⚠️ Reorder Needed,90.55,0,0,Rainy
2022-02-10,S001,P0001,Clothing,South,311,237,127.3,229.08,179.0,434.0,123.0,⚠️ Reorder Needed,89.58,5,0,Rainy
2022-02-11,S001,P0001,Electronics,East,216,203,130.6,198.49,179.0,440.0,224.0,⚠️ Reorder Needed,19.93,0,0,Sunny
2022-02-12,S001,P0001,Toys,South,358,29,128.9,48.16,179.0,437.0,79.0,⚠️ Reorder Needed,64.4,15,1,Sunny
2022-02-13,S001,P0001,Clothing,North,229,149,128.0,143.55,179.0,435.0,206.0,⚠️ Reorder Needed,85.19,10,0,Rainy
2022-02-14,S001,P0001,Clothing,North,429,259,130.8,256.33,179.0,441.0,12.0,⚠️ Reorder Needed,97.41,10,1,Snowy
2022-02-15,S001,P0001,Furniture,North,126,111,131.2,115.57,179.0,441.0,315.0,🔴 Critical Stockout Risk,51.27,5,0,Snowy
2022-02-16,S001,P0001,Electronics,West,373,373,141.4,372.09,179.0,462.0,89.0,⚠️ Reorder Needed,65.22,10,1,Rainy
2022-02-17,S001,P0001,Furniture,West,82,31,138.3,27.62,179.0,456.0,374.0,🔴 Critical Stockout Risk,49.34,5,1,Rainy
2022-02-18,S001,P0001,Electronics,South,115,27,132.2,39.79,179.0,443.0,328.0,🔴 Critical Stockout Risk,20.21,15,0,Rainy
2022-02-19,S001,P0001,Furniture,North,207,27,130.4,32.44,179.0,440.0,233.0,⚠️ Reorder Needed,75.6,0,1,Snowy
2022-02-20,S001,P0001,Toys,South,284,166,123.0,175.44,179.0,425.0,141.0,⚠️ Reorder Needed,73.76,10,0,Rainy
2022-02-21,S001,P0001,Clothing,East,337,337,127.8,346.41,179.0,435.0,98.0,⚠️ Reorder Needed,96.55,10,0,Sunny
2022-02-22,S001,P0001,Furniture,East,467,191,131.6,194.7,179.0,442.0,0.0,✅ Healthy Stock,12.81,15,1,Sunny
2022-02-23,S001,P0001,Groceries,West,152,129,135.6,134.64,179.0,450.0,298.0,🔴 Critical Stockout Risk,27.67,15,0,Cloudy
2022-02-24,S001,P0001,Toys,East,277,177,135.2,169.54,179.0,449.0,172.0,⚠️ Reorder Needed,25.72,10,1,Snowy
2022-02-25,S001,P0001,Clothing,North,399,214,140.7,220.68,179.0,460.0,61.0,⚠️ Reorder Needed,10.85,20,1,Cloudy
2022-02-26,S001,P0001,Groceries,North,167,106,138.7,113.33,179.0,456.0,289.0,🔴 Critical Stockout Risk,52.53,10,0,Snowy
2022-02-27,S001,P0001,Clothing,North,129,68,137.8,81.82,179.0,455.0,326.0,🔴 Critical Stockout Risk,34.84,10,1,Rainy
2022-02-28,S001,P0001,Furniture,South,361,344,147.7,338.3,179.0,474.0,113.0,⚠️ Reorder Needed,89.39,10,1,Snowy
2022-03-01,S001,P0001,Toys,North,263,28,144.3,33.68,179.0,468.0,205.0,⚠️ Reorder Needed,15.95,5,0,Snowy
2022-03-02,S001,P0001,Groceries,South,216,93,140.7,105.56,179.0,460.0,244.0,⚠️ Reorder Needed,58.52,15,1,Snowy
2022-03-03,S001,P0001,Toys,South,304,36,132.6,31.54,179.0,444.0,140.0,⚠️ Reorder Needed,14.01,0,1,Snowy
2022-03-04,S001,P0001,Toys,South,338,284,140.8,274.86,179.0,461.0,123.0,⚠️ Reorder Needed,33.06,15,0,Snowy
2022-03-05,S001,P0001,Furniture,East,496,282,147.8,274.26,179.0,475.0,0.0,✅ Healthy Stock,27.67,10,0,Sunny
2022-03-06,S001,P0001,Electronics,South,463,192,153.4,203.71,179.0,486.0,23.0,⚠️ Reorder Needed,62.37,10,1,Cloudy
2022-03-07,S001,P0001,Toys,North,380,348,153.3,360.31,179.0,486.0,106.0,⚠️ Reorder Needed,98.99,5,0,Rainy
2022-03-08,S001,P0001,Clothing,West,394,32,152.1,36.33,179.0,483.0,89.0,⚠️ Reorder Needed,95.9,20,1,Sunny
2022-03-09,S001,P0001,Clothing,South,339,26,150.9,29.44,179.0,481.0,142.0,⚠️ Reorder Needed,24.92,15,0,Sunny
2022-03-10,S001,P0001,Clothing,East,285,147,155.4,161.02,179.0,490.0,205.0,⚠️ Reorder Needed,24.69,10,1,Snowy
2022-03-11,S001,P0001,Groceries,North,348,141,159.6,155.99,179.0,498.0,150.0,⚠️ Reorder Needed,46.7,10,1,Snowy
2022-03-12,S001,P0001,Electronics,East,210,194,158.1,196.14,179.0,495.0,285.0,⚠️ Reorder Needed,91.91,5,1,Rainy
2022-03-13,S001,P0001,Clothing,North,327,95,154.5,101.11,179.0,488.0,161.0,⚠️ Reorder Needed,87.0,15,0,Sunny
2022-03-14,S001,P0001,Electronics,West,84,74,156.0,80.12,179.0,491.0,407.0,🔴 Critical Stockout Risk,59.11,10,0,Snowy
2022-03-15,S001,P0001,Furniture,West,172,78,153.7,78.64,179.0,486.0,314.0,🔴 Critical Stockout Risk,69.17,20,0,Cloudy
2022-03-16,S001,P0001,Groceries,South,252,230,152.7,243.54,179.0,484.0,232.0,⚠️ Reorder Needed,37.52,5,0,Cloudy
2022-03-17,S001,P0001,Groceries,South,124,89,152.0,102.55,179.0,483.0,359.0,🔴 Critical Stockout Risk,30.81,15,1,Sunny
2022-03-18,S001,P0001,Electronics,North,282,150,144.5,142.21,179.0,468.0,186.0,⚠️ Reorder Needed,47.2,15,0,Snowy
2022-03-19,S001,P0001,Clothing,South,388,285,153.0,285.57,179.0,485.0,97.0,⚠️ Reorder Needed,17.8,20,0,Rainy
2022-03-20,S001,P0001,Electronics,East,83,40,153.4,47.68,179.0,486.0,403.0,🔴 Critical Stockout Risk,33.07,15,1,Snowy
2022-03-21,S001,P0001,Groceries,North,100,58,154.5,73.92,179.0,488.0,388.0,🔴 Critical Stockout Risk,75.75,15,1,Sunny
2022-03-22,S001,P0001,Electronics,North,163,114,152.7,121.45,179.0,484.0,321.0,🔴 Critical Stockout Risk,69.56,5,1,Snowy
2022-03-23,S001,P0001,Electronics,South,82,21,142.2,15.89,179.0,463.0,381.0,🔴 Critical Stockout Risk,86.7,0,1,Sunny
2022-03-24,S001,P0001,Clothing,North,279,35,137.0,42.16,179.0,453.0,174.0,⚠️ Reorder Needed,12.46,5,0,Cloudy
2022-03-25,S001,P0001,Electronics,South,441,31,133.7,41.5,179.0,446.0,5.0,⚠️ Reorder Needed,45.18,0,0,Rainy
2022-03-26,S001,P0001,Groceries,South,81,4,128.0,22.91,179.0,435.0,354.0,🔴 Critical Stockout Risk,81.93,20,1,Snowy
2022-03-27,S001,P0001,Toys,South,324,289,130.5,279.09,179.0,440.0,116.0,⚠️ Reorder Needed,78.21,10,0,Snowy
2022-03-28,S001,P0001,Groceries,West,393,49,128.6,61.96,179.0,436.0,43.0,⚠️ Reorder Needed,68.54,0,0,Rainy
2022-03-29,S001,P0001,Electronics,West,110,3,126.4,-1.27,179.0,432.0,322.0,🔴 Critical Stockout Risk,65.91,5,0,Rainy
2022-03-30,S001,P0001,Groceries,South,339,136,119.5,154.62,179.0,418.0,79.0,⚠️ Reorder Needed,32.07,0,0,Snowy
2022-03-31,S001,P0001,Clothing,South,358,85,121.4,91.85,179.0,422.0,64.0,⚠️ Reorder Needed,63.02,0,0,Sunny
2022-04-01,S001,P0001,Furniture,West,215,101,121.6,102.74,179.0,422.0,207.0,⚠️ Reorder Needed,44.62,0,1,Cloudy
2022-04-02,S001,P0001,Furniture,East,200,70,122.8,74.21,179.0,425.0,225.0,⚠️ Reorder Needed,81.11,15,1,Sunny
2022-04-03,S001,P0001,Toys,South,208,32,114.4,42.34,179.0,408.0,200.0,⚠️ Reorder Needed,51.04,15,0,Snowy
2022-04-04,S001,P0001,Furniture,North,70,54,106.8,60.25,179.0,393.0,323.0,🔴 Critical Stockout Risk,70.04,10,1,Sunny
2022-04-05,S001,P0001,Groceries,East,309,165,105.9,176.64,179.0,391.0,82.0,⚠️ Reorder Needed,90.24,10,0,Snowy
2022-04-06,S001,P0001,Groceries,West,322,158,99.5,174.98,179.0,378.0,56.0,⚠️ Reorder Needed,23.65,10,0,Rainy
2022-04-07,S001,P0001,Furniture,South,84,26,99.3,30.94,179.0,378.0,294.0,🔴 Critical Stockout Risk,67.82,0,1,Snowy
2022-04-08,S001,P0001,Furniture,East,322,130,102.8,148.95,179.0,385.0,63.0,⚠️ Reorder Needed,27.4,15,0,Rainy
2022-04-09,S001,P0001,Groceries,North,435,121,101.9,113.81,179.0,383.0,0.0,✅ Healthy Stock,69.13,15,1,Cloudy
2022-04-10,S001,P0001,Groceries,East,292,282,106.6,301.68,179.0,392.0,100.0,⚠️ Reorder Needed,96.48,5,0,Sunny
2022-04-11,S001,P0001,Groceries,South,376,358,112.1,367.23,179.0,403.0,27.0,⚠️ Reorder Needed,46.43,0,1,Rainy
2022-04-12,S001,P0001,Clothing,West,381,238,116.9,237.67,179.0,413.0,32.0,⚠️ Reorder Needed,74.25,15,0,Rainy
2022-04-13,S001,P0001,Electronics,East,433,279,123.7,293.17,179.0,426.0,0.0,✅ Healthy Stock,78.35,10,1,Snowy
2022-04-14,S001,P0001,Electronics,South,241,108,124.7,110.02,179.0,428.0,187.0,⚠️ Reorder Needed,83.64,20,0,Sunny
2022-04-15,S001,P0001,Toys,West,136,32,118.1,24.81,179.0,415.0,279.0,🔴 Critical Stockout Risk,95.63,10,1,Sunny
2022-04-16,S001,P0001,Groceries,East,445,183,121.2,176.76,179.0,421.0,0.0,✅ Healthy Stock,74.81,10,0,Cloudy
2022-04-17,S001,P0001,Toys,West,396,365,128.4,363.52,179.0,436.0,40.0,⚠️ Reorder Needed,68.35,5,0,Cloudy
2022-04-18,S001,P0001,Groceries,South,319,47,120.5,37.98,179.0,420.0,101.0,⚠️ Reorder Needed,53.83,20,0,Rainy
2022-04-19,S001,P0001,Electronics,North,60,41,120.5,38.56,179.0,420.0,360.0,🔴 Critical Stockout Risk,66.6,15,1,Rainy
2022-04-20,S001,P0001,Furniture,North,164,51,120.3,46.97,179.0,420.0,256.0,🔴 Critical Stockout Risk,14.9,20,1,Cloudy
2022-04-21,S001,P0001,Furniture,North,320,107,120.0,109.15,179.0,419.0,99.0,⚠️ Reorder Needed,84.81,0,1,Rainy
2022-04-22,S001,P0001,Groceries,West,407,405,132.8,410.98,179.0,445.0,38.0,⚠️ Reorder Needed,93.83,15,0,Snowy
2022-04-23,S001,P0001,Electronics,East,291,212,138.7,208.81,179.0,456.0,165.0,⚠️ Reorder Needed,36.5,15,1,Sunny
2022-04-24,S001,P0001,Toys,South,81,14,138.2,33.2,179.0,455.0,374.0,🔴 Critical Stockout Risk,20.46,15,1,Snowy
2022-04-25,S001,P0001,Clothing,West,52,45,139.5,48.53,179.0,458.0,406.0,🔴 Critical Stockout Risk,71.32,5,1,Cloudy
2022-04-26,S001,P0001,Groceries,South,489,452,145.0,442.38,179.0,469.0,0.0,✅ Healthy Stock,29.14,10,0,Cloudy
2022-04-27,S001,P0001,Electronics,South,422,288,152.9,298.22,179.0,485.0,63.0,⚠️ Reorder Needed,43.71,15,0,Cloudy
2022-04-28,S001,P0001,Groceries,South,348,334,164.0,329.4,179.0,507.0,159.0,⚠️ Reorder Needed,47.06,10,1,Rainy
2022-04-29,S001,P0001,Groceries,South,319,27,160.3,31.1,179.0,500.0,181.0,⚠️ Reorder Needed,34.81,0,1,Rainy
2022-04-30,S001,P0001,Toys,South,162,149,162.5,143.4,179.0,504.0,342.0,🔴 Critical Stockout Risk,20.41,20,0,Cloudy
2022-05-01,S001,P0001,Electronics,East,125,0,159.1,-8.04,179.0,497.0,372.0,🔴 Critical Stockout Risk,36.91,10,0,Cloudy
2022-05-02,S001,P0001,Toys,East,193,1,156.8,-1.99,179.0,493.0,300.0,⚠️ Reorder Needed,37.57,0,1,Rainy
2022-05-03,S001,P0001,Toys,East,231,18,156.3,32.61,179.0,492.0,261.0,⚠️ Reorder Needed,47.42,20,1,Sunny
2022-05-04,S001,P0001,Furniture,West,383,127,158.8,126.03,179.0,497.0,114.0,⚠️ Reorder Needed,30.44,20,0,Cloudy
2022-05-05,S001,P0001,Toys,South,252,49,154.9,45.42,179.0,489.0,237.0,⚠️ Reorder Needed,21.29,20,0,Rainy
2022-05-06,S001,P0001,Groceries,South,253,26,150.5,40.4,179.0,480.0,227.0,⚠️ Reorder Needed,87.62,10,1,Rainy
2022-05-07,S001,P0001,Furniture,East,334,39,150.9,44.63,179.0,481.0,147.0,⚠️ Reorder Needed,65.44,20,1,Sunny
2022-05-08,S001,P0001,Clothing,South,103,6,146.8,13.1,179.0,473.0,370.0,🔴 Critical Stockout Risk,30.86,5,0,Snowy
2022-05-09,S001,P0001,Toys,West,195,173,148.5,184.02,179.0,476.0,281.0,⚠️ Reorder Needed,55.13,15,0,Sunny
2022-05-10,S001,P0001,Toys,North,118,19,139.8,25.79,179.0,459.0,341.0,🔴 Critical Stockout Risk,60.66,15,0,Snowy
2022-05-11,S001,P0001,Toys,West,185,19,128.5,16.37,179.0,436.0,251.0,⚠️ Reorder Needed,23.93,10,1,Rainy
2022-05-12,S001,P0001,Electronics,East,426,10,120.9,2.78,179.0,421.0,0.0,✅ Healthy Stock,94.22,0,0,Sunny
2022-05-13,S001,P0001,Groceries,North,496,357,123.5,353.82,179.0,426.0,0.0,✅ Healthy Stock,14.24,5,0,Cloudy
2022-05-14,S001,P0001,Furniture,East,470,226,127.4,224.85,179.0,434.0,0.0,✅ Healthy Stock,61.31,10,0,Sunny
2022-05-15,S001,P0001,Toys,South,392,213,133.4,216.51,179.0,446.0,54.0,⚠️ Reorder Needed,39.12,5,1,Snowy
2022-05-16,S001,P0001,Groceries,North,179,121,131.4,112.72,179.0,442.0,263.0,🔴 Critical Stockout Risk,97.06,15,1,Sunny
2022-05-17,S001,P0001,Electronics,East,264,191,125.6,201.31,179.0,430.0,166.0,⚠️ Reorder Needed,82.48,15,0,Snowy
2022-05-18,S001,P0001,Toys,South,373,148,128.9,146.02,179.0,437.0,64.0,⚠️ Reorder Needed,22.09,20,1,Snowy
2022-05-19,S001,P0001,Clothing,West,81,17,128.1,24.29,179.0,435.0,354.0,🔴 Critical Stockout Risk,34.33,10,0,Sunny
2022-05-20,S001,P0001,Groceries,West,340,75,128.9,83.43,179.0,437.0,97.0,⚠️ Reorder Needed,85.99,15,0,Cloudy
2022-05-21,S001,P0001,Clothing,East,494,314,135.8,323.92,179.0,451.0,0.0,✅ Healthy Stock,75.6,0,1,Sunny
2022-05-22,S001,P0001,Furniture,North,175,46,123.9,62.81,179.0,427.0,252.0,🔴 Critical Stockout Risk,73.44,5,0,Rainy
2022-05-23,S001,P0001,Clothing,East,114,66,119.0,67.77,179.0,417.0,303.0,🔴 Critical Stockout Risk,19.09,5,0,Snowy
2022-05-24,S001,P0001,Clothing,West,459,173,124.3,181.74,179.0,428.0,0.0,✅ Healthy Stock,15.58,10,1,Snowy
2022-05-25,S001,P0001,Toys,West,78,68,125.1,76.27,179.0,429.0,351.0,🔴 Critical Stockout Risk,45.81,10,0,Cloudy
2022-05-26,S001,P0001,Clothing,East,211,200,116.7,207.14,179.0,412.0,201.0,⚠️ Reorder Needed,14.76,5,1,Sunny
2022-05-27,S001,P0001,Furniture,South,94,32,108.1,40.77,179.0,395.0,301.0,🔴 Critical Stockout Risk,19.35,5,1,Cloudy
2022-05-28,S001,P0001,Toys,East,434,393,110.1,409.98,179.0,399.0,0.0,✅ Healthy Stock,47.5,20,0,Sunny
2022-05-29,S001,P0001,Furniture,West,94,11,109.6,21.8,179.0,398.0,304.0,🔴 Critical Stockout Risk,68.32,0,0,Cloudy
2022-05-30,S001,P0001,Toys,West,372,307,114.8,309.22,179.0,409.0,37.0,⚠️ Reorder Needed,15.94,0,1,Rainy
2022-05-31,S001,P0001,Clothing,East,111,109,118.5,117.21,179.0,416.0,305.0,🔴 Critical Stockout Risk,52.95,10,1,Snowy
2022-06-01,S001,P0001,Toys,North,461,198,125.0,192.58,179.0,429.0,0.0,✅ Healthy Stock,11.52,15,1,Rainy
2022-06-02,S001,P0001,Clothing,West,386,385,137.3,388.15,179.0,454.0,68.0,⚠️ Reorder Needed,98.99,10,1,Snowy
2022-06-03,S001,P0001,Clothing,North,53,25,133.9,43.58,179.0,447.0,394.0,🔴 Critical Stockout Risk,54.62,10,0,Rainy
2022-06-04,S001,P0001,Electronics,West,72,48,133.8,53.64,179.0,447.0,375.0,🔴 Critical Stockout Risk,67.67,20,0,Cloudy
2022-06-05,S001,P0001,Groceries,West,265,164,138.4,161.11,179.0,456.0,191.0,⚠️ Reorder Needed,84.43,15,0,Sunny
2022-06-06,S001,P0001,Furniture,North,219,113,140.9,119.18,179.0,461.0,242.0,⚠️ Reorder Needed,94.24,15,0,Rainy
2022-06-07,S001,P0001,Groceries,East,256,237,148.6,227.01,179.0,476.0,220.0,⚠️ Reorder Needed,92.79,5,0,Cloudy
2022-06-08,S001,P0001,Groceries,East,209,90,145.8,103.1,179.0,471.0,262.0,⚠️ Reorder Needed,98.92,10,0,Rainy
2022-06-09,S001,P0001,Toys,South,403,259,153.8,264.28,179.0,487.0,84.0,⚠️ Reorder Needed,15.22,10,0,Sunny
2022-06-10,S001,P0001,Clothing,North,163,158,158.5,170.85,179.0,496.0,333.0,🔴 Critical Stockout Risk,51.57,5,0,Rainy
2022-06-11,S001,P0001,Groceries,East,374,254,166.6,253.13,179.0,512.0,138.0,⚠️ Reorder Needed,13.91,5,0,Rainy
2022-06-12,S001,P0001,Clothing,South,469,315,165.2,322.64,179.0,509.0,40.0,⚠️ Reorder Needed,37.8,15,1,Cloudy
2022-06-13,S001,P0001,Electronics,West,91,58,159.6,74.6,179.0,498.0,407.0,🔴 Critical Stockout Risk,55.8,20,0,Snowy
2022-06-14,S001,P0001,Clothing,East,133,109,156.1,121.46,179.0,491.0,358.0,🔴 Critical Stockout Risk,35.77,5,1,Sunny
2022-06-15,S001,P0001,Electronics,South,124,98,155.4,101.53,179.0,490.0,366.0,🔴 Critical Stockout Risk,91.53,15,0,Snowy
2022-06-16,S001,P0001,Furniture,West,290,260,157.7,257.66,179.0,494.0,204.0,⚠️ Reorder Needed,59.27,20,1,Rainy
2022-06-17,S001,P0001,Furniture,East,289,53,154.5,59.75,179.0,488.0,199.0,⚠️ Reorder Needed,75.73,15,0,Sunny
2022-06-18,S001,P0001,Furniture,North,390,31,155.0,39.96,179.0,489.0,99.0,⚠️ Reorder Needed,25.77,15,1,Snowy
2022-06-19,S001,P0001,Furniture,East,478,253,160.9,255.2,179.0,501.0,23.0,⚠️ Reorder Needed,90.94,0,0,Sunny
2022-06-20,S001,P0001,Electronics,West,338,205,157.3,208.89,179.0,494.0,156.0,⚠️ Reorder Needed,86.86,10,0,Rainy
2022-06-21,S001,P0001,Groceries,North,403,191,162.1,182.13,179.0,503.0,100.0,⚠️ Reorder Needed,79.86,0,1,Snowy
2022-06-22,S001,P0001,Electronics,West,264,238,167.8,253.34,179.0,515.0,251.0,⚠️ Reorder Needed,19.44,5,1,Snowy
2022-06-23,S001,P0001,Clothing,West,492,268,171.0,263.81,179.0,521.0,29.0,⚠️ Reorder Needed,13.76,20,0,Snowy
2022-06-24,S001,P0001,Furniture,North,321,95,171.9,107.92,179.0,523.0,202.0,⚠️ Reorder Needed,96.38,20,1,Sunny
2022-06-25,S001,P0001,Toys,North,454,202,172.0,199.67,179.0,523.0,69.0,⚠️ Reorder Needed,19.9,5,1,Snowy
2022-06-26,S001,P0001,Furniture,North,74,8,171.2,21.87,179.0,521.0,447.0,🔴 Critical Stockout Risk,23.59,5,1,Rainy
2022-06-27,S001,P0001,Toys,North,421,48,159.7,48.5,179.0,498.0,77.0,⚠️ Reorder Needed,11.81,0,0,Snowy
2022-06-28,S001,P0001,Groceries,South,332,256,167.8,256.57,179.0,515.0,183.0,⚠️ Reorder Needed,15.81,10,0,Snowy
2022-06-29,S001,P0001,Clothing,North,58,22,158.3,22.15,179.0,496.0,438.0,🔴 Critical Stockout Risk,80.64,0,1,Rainy
2022-06-30,S001,P0001,Clothing,North,452,151,159.7,159.37,179.0,498.0,46.0,⚠️ Reorder Needed,74.75,5,0,Sunny
2022-07-01,S001,P0001,Clothing,South,372,35,154.3,37.91,179.0,488.0,116.0,⚠️ Reorder Needed,43.74,0,0,Sunny
2022-07-02,S001,P0001,Groceries,East,61,8,141.7,-1.43,179.0,462.0,401.0,🔴 Critical Stockout Risk,42.42,0,0,Cloudy
2022-07-03,S001,P0001,Furniture,South,149,92,144.0,97.47,179.0,467.0,318.0,🔴 Critical Stockout Risk,79.84,0,1,Rainy
2022-07-04,S001,P0001,Electronics,West,483,143,147.1,153.26,179.0,473.0,0.0,✅ Healthy Stock,15.79,15,1,Cloudy
2022-07-05,S001,P0001,Toys,North,104,75,144.2,78.99,179.0,467.0,363.0,🔴 Critical Stockout Risk,81.22,10,1,Snowy
2022-07-06,S001,P0001,Groceries,East,305,4,140.5,21.76,179.0,460.0,155.0,⚠️ Reorder Needed,46.96,20,1,Rainy
2022-07-07,S001,P0001,Toys,East,115,70,135.0,60.33,179.0,449.0,334.0,🔴 Critical Stockout Risk,96.25,5,0,Snowy
2022-07-08,S001,P0001,Groceries,West,145,118,135.9,130.28,179.0,451.0,306.0,🔴 Critical Stockout Risk,78.51,5,1,Snowy
2022-07-09,S001,P0001,Groceries,West,190,6,127.5,-0.67,179.0,434.0,244.0,⚠️ Reorder Needed,56.87,20,0,Cloudy
2022-07-10,S001,P0001,Electronics,West,475,56,124.1,52.08,179.0,427.0,0.0,✅ Healthy Stock,35.38,0,0,Sunny
2022-07-11,S001,P0001,Furniture,East,429,310,125.9,302.51,179.0,431.0,2.0,⚠️ Reorder Needed,70.64,15,0,Cloudy
2022-07-12,S001,P0001,Toys,South,152,87,118.3,79.62,179.0,416.0,264.0,🔴 Critical Stockout Risk,37.08,20,0,Rainy
